
2006-10-28 20.10.30 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250272 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.30 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250273 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.33 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250303 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.33 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250304 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.33 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250306 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.36 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250335 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.36 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250336 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.36 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250337 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.38 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250367 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.38 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250369 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.38 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250370 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.40 #  # registerFailed # Failed to register StatusInfoAccess [*3] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250392 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.40 #  # registerFailed # Failed to register NSim [*3] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250393 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.40 #  # registerFailed # Failed to register XTransport [*3] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250394 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.43 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250423 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.43 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250424 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.43 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250426 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.45 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250455 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.45 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250456 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.45 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250457 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.47 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250487 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
